Team No,Judges,TECHNOLOGY,DESIGN ,PRESENTATION,COLLABORATION,IMPLEMENTATION,Total ,Collective Total
95,Ms.SIRISHA,3,3,3,4,3,3.2,3
,    Mr.Sravan,3,3,3,3,2,2.8,
,,,,,,,,
15,Ms.SIRISHA,3,3,3,4,3,3.2,3.5
,    Mr.Sravan,3,4,4,4,4,3.8,
,,,,,,,,
122,Ms.SIRISHA,1,1,2,2,1,1.4,1.3
,    Mr.Sravan,1,1,2,1,1,1.2,
,,,,,,,,
77,Ms.SIRISHA,2,3,1,2,2,2,2
,    Mr.Sravan,2,3,1,2,2,2,
,,,,,,,,
166,Ms.SIRISHA,1,2,2,1,2,1.6,1.5
,    Mr.Sravan,1,1,2,1,2,1.4,
,,,,,,,,
171,Ms.SIRISHA,3,4,4,4,4,3.8,3.4
,    Mr.Sravan,3,3,3,3,3,3,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
145,Ms.SIRISHA,1,1,1,1,1,1,1
,    Mr.Sravan,1,1,1,1,1,1,
,,,,,,,,
135,Ms.SIRISHA,1,1,1,1,1,1,1
,    Mr.Sravan,1,1,1,1,1,1,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
137,Ms.SIRISHA,2,3,3,3,3,2.8,2.6
,    Mr.Sravan,2,3,3,2,2,2.4,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
163,Ms.SIRISHA,1,1,2,2,1,1.4,1.5
,    Mr.Sravan,1,2,2,2,1,1.6,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
117,Ms.SIRISHA,3,3,4,4,3,3.4,3.4
,    Mr.Sravan,3,3,4,4,3,3.4,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
182,Ms.SIRISHA,3,3,3,3,3,3,3
,    Mr.Sravan,3,3,3,3,3,3,
